"LBXPCB.Code.or.Value","LBXPCB.Value.Description","LBXPCB.Count","LBXPCB.Cumulative","LBXPCB.Skip.to.Item"
"17.75 to 15118.1","Range of Values",1896,1896,NA
".","Missing",378,2274,NA
