"WBXA082.Code.or.Value","WBXA082.Value.Description","WBXA082.Count","WBXA082.Cumulative","WBXA082.Skip.to.Item"
"-0.6957 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
