"DXXSATM.Code.or.Value","DXXSATM.Value.Description","DXXSATM.Count","DXXSATM.Cumulative","DXXSATM.Skip.to.Item"
"95.7 to 4916.06","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
