"URX1NP.Code.or.Value","URX1NP.Value.Description","URX1NP.Count","URX1NP.Cumulative","URX1NP.Skip.to.Item"
"0.91 to 441","Range of Values",2478,2478,NA
".","Missing",277,2755,NA
