"AUXRR113.Code.or.Value","AUXRR113.Value.Description","AUXRR113.Count","AUXRR113.Cumulative","AUXRR113.Skip.to.Item"
"-42 to 76","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
