"AUDTYL15.Code.or.Value","AUDTYL15.Value.Description","AUDTYL15.Count","AUDTYL15.Cumulative","AUDTYL15.Skip.to.Item"
"0 to 2.44","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
