"LBDPFOAL.Code.or.Value","LBDPFOAL.Value.Description","LBDPFOAL.Count","LBDPFOAL.Cumulative","LBDPFOAL.Skip.to.Item"
"0","At or above the detection limit",2228,2228,NA
"1","Below lower detection limit",5,2233,NA
".","Missing",199,2432,NA
