"WTSAF4YR.Code.or.Value","WTSAF4YR.Value.Description","WTSAF4YR.Count","WTSAF4YR.Cumulative","WTSAF4YR.Skip.to.Item"
"0 to 225451.11774","Range of Values",3267,3267,NA
".","Missing",0,3267,NA
