"AUXLR274.Code.or.Value","AUXLR274.Value.Description","AUXLR274.Count","AUXLR274.Cumulative","AUXLR274.Skip.to.Item"
"-17 to 70","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
