"DXXOSBMC.Code.or.Value","DXXOSBMC.Value.Description","DXXOSBMC.Count","DXXOSBMC.Cumulative","DXXOSBMC.Skip.to.Item"
"13.22 to 165.11","Range of Values",5793,5793,NA
".","Missing",1941,7734,NA
