"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2486,2486,NA
"1","Below lower detection limit",18,2504,NA
".","Missing",90,2594,NA
