"DR2IP205.Code.or.Value","DR2IP205.Value.Description","DR2IP205.Count","DR2IP205.Cumulative","DR2IP205.Skip.to.Item"
"0 to 2.527","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
