"WBXF077.Code.or.Value","WBXF077.Value.Description","WBXF077.Count","WBXF077.Cumulative","WBXF077.Skip.to.Item"
"3363.5857 to 3363.5857","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
