"LBDOTTLC.Code.or.Value","LBDOTTLC.Value.Description","LBDOTTLC.Count","LBDOTTLC.Cumulative","LBDOTTLC.Skip.to.Item"
"0","At or above the detection limit",2769,2769,NA
"1","Below lower detection limit",0,2769,NA
".","Missing",1559,4328,NA
