"WTSA2YR.Code.or.Value","WTSA2YR.Value.Description","WTSA2YR.Count","WTSA2YR.Cumulative","WTSA2YR.Skip.to.Item"
"12199.652219 to 643202.3505","Range of Values",2144,2144,NA
".","Missing",33,2177,NA
