"WHD080A.Code.or.Value","WHD080A.Value.Description","WHD080A.Count","WHD080A.Cumulative","WHD080A.Skip.to.Item"
"10","Ate less food (amount)",1518,1518,NA
"77","Refused",0,1518,NA
"99","Don't know",2,1520,NA
".","Missing",5114,6634,NA
