"URXUBA.Code.or.Value","URXUBA.Value.Description","URXUBA.Count","URXUBA.Cumulative","URXUBA.Skip.to.Item"
"0.08 to 101","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
