"WBXA068.Code.or.Value","WBXA068.Value.Description","WBXA068.Count","WBXA068.Cumulative","WBXA068.Skip.to.Item"
"-0.2165 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
