"URXDPM.Code.or.Value","URXDPM.Value.Description","URXDPM.Count","URXDPM.Cumulative","URXDPM.Skip.to.Item"
"0.354 to 1.93","Range of Values",2471,2471,NA
".","Missing",284,2755,NA
