"WTSPH35.Code.or.Value","WTSPH35.Value.Description","WTSPH35.Count","WTSPH35.Cumulative","WTSPH35.Skip.to.Item"
"0.0000000 to 742569.1556100","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
