"CVDPROT.Code.or.Value","CVDPROT.Value.Description","CVDPROT.Count","CVDPROT.Cumulative","CVDPROT.Skip.to.Item"
"1 to 8","Range of Values",3214,3214,NA
".","Missing",1449,4663,NA
