"URX14D.Code.or.Value","URX14D.Value.Description","URX14D.Count","URX14D.Cumulative","URX14D.Skip.to.Item"
"0.07 to 30426.3","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
