"OSD030ab.Code.or.Value","OSD030ab.Value.Description","OSD030ab.Count","OSD030ab.Cumulative","OSD030ab.Skip.to.Item"
"40 to 78","Range of Values",10,10,NA
"80","80 or older",0,10,NA
"77777","Refused",0,10,NA
"99999","Don't know",1,11,NA
".","Missing",3804,3815,NA
