"CBQ698a.Code.or.Value","CBQ698a.Value.Description","CBQ698a.Count","CBQ698a.Cumulative","CBQ698a.Skip.to.Item"
"1","I don't have time",111,111,NA
"77","Refused",0,111,NA
"99","Don't know",4,115,NA
".","Missing",6284,6399,NA
