"DEQ2BPOT.Code.or.Value","DEQ2BPOT.Value.Description","DEQ2BPOT.Count","DEQ2BPOT.Cumulative","DEQ2BPOT.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
