"DXDTOLI.Code.or.Value","DXDTOLI.Value.Description","DXDTOLI.Count","DXDTOLI.Cumulative","DXDTOLI.Skip.to.Item"
"13586.8 to 115895.4","Range of Values",4521,4521,NA
".","Missing",1171,5692,NA
