"DR1TPROT.Code.or.Value","DR1TPROT.Value.Description","DR1TPROT.Count","DR1TPROT.Cumulative","DR1TPROT.Skip.to.Item"
"0 to 366.21","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
