"TYXA246.Code.or.Value","TYXA246.Value.Description","TYXA246.Count","TYXA246.Cumulative","TYXA246.Skip.to.Item"
"0.257 to 5.089","Range of Values",154,154,NA
".","Missing",8315,8469,NA
