"CIQD074.Code.or.Value","CIQD074.Value.Description","CIQD074.Count","CIQD074.Cumulative","CIQD074.Skip.to.Item"
"1","Still going on",12,12,""
"5","Ended",2,14,"CIQD078"
"7","Refuse",0,14,"CIQD078"
"9","Don't know",0,14,"CIQD078"
".","Missing",764,778,""
