"AUDTYR37.Code.or.Value","AUDTYR37.Value.Description","AUDTYR37.Count","AUDTYR37.Cumulative","AUDTYR37.Skip.to.Item"
"0 to 2.94","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
