"DRALANG.Code.or.Value","DRALANG.Value.Description","DRALANG.Count","DRALANG.Cumulative","DRALANG.Skip.to.Item"
"1","English",105922,105922,NA
"2","Spanish",20348,126270,NA
"3","English and Spanish",1295,127565,NA
"4","Other",206,127771,NA
".","Missing",69,127840,NA
