"SDDSRVYR.Code.or.Value","SDDSRVYR.Value.Description","SDDSRVYR.Count","SDDSRVYR.Cumulative","SDDSRVYR.Skip.to.Item"
"5","NHANES 2007-2008 Public Release",10149,10149,NA
".","Missing",0,10149,NA
