"DBQ197.Code.or.Value","DBQ197.Value.Description","DBQ197.Count","DBQ197.Cumulative","DBQ197.Skip.to.Item"
"0","Never",1219,1219,"DBD225"
"1","Rarely-less than once a week",1446,2665,""
"2","Sometimes-once a week or more, but less than once a day, or",2482,5147,""
"3","Often-once a day or more?",4401,9548,""
"4","Varied",27,9575,""
"7","Refused",0,9575,"DBD225"
"9","Don't know",0,9575,"DBD225"
".","Missing",396,9971,""
