"BIXC006K.Code.or.Value","BIXC006K.Value.Description","BIXC006K.Count","BIXC006K.Cumulative","BIXC006K.Skip.to.Item"
"13.51 to 225.28","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
