"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"887.3695022 to 293828.97477","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
