"LBDD02LC.Code.or.Value","LBDD02LC.Value.Description","LBDD02LC.Count","LBDD02LC.Cumulative","LBDD02LC.Skip.to.Item"
"0","At or above the detection limit",159,159,NA
"1","Below lower detection limit",87,246,NA
".","Missing",1,247,NA
