"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0 to 29.683","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
