"RFXC094.Code.or.Value","RFXC094.Value.Description","RFXC094.Count","RFXC094.Cumulative","RFXC094.Skip.to.Item"
"-7.428 to 5.072","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
