"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"77 to 640.2","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
