"DTQ130U.Code.or.Value","DTQ130U.Value.Description","DTQ130U.Count","DTQ130U.Cumulative","DTQ130U.Skip.to.Item"
"1","Day",2189,2189,NA
"2","Week",2560,4749,NA
"3","Month",2472,7221,NA
"7","Refused",3,7224,NA
"9","Don't know",8,7232,NA
".","Missing",1309,8541,NA
