"DR1ITFAT.Code.or.Value","DR1ITFAT.Value.Description","DR1ITFAT.Count","DR1ITFAT.Cumulative","DR1ITFAT.Skip.to.Item"
"0 to 267.28","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
