"LBDZEBLC.Code.or.Value","LBDZEBLC.Value.Description","LBDZEBLC.Count","LBDZEBLC.Cumulative","LBDZEBLC.Skip.to.Item"
"0","Result at or above the limit of detection.",598,598,NA
"1","Result below the limit of detection.",44,642,NA
".","Missing",209,851,NA
