"DXXIPY.Code.or.Value","DXXIPY.Value.Description","DXXIPY.Count","DXXIPY.Cumulative","DXXIPY.Skip.to.Item"
"123.5 to 351.9","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
