"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"35.36 to 1573.52","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
