"LBC128LA.Code.or.Value","LBC128LA.Value.Description","LBC128LA.Count","LBC128LA.Cumulative","LBC128LA.Skip.to.Item"
"0.09 to 1.28","Range of Values",247,247,NA
".","Missing",0,247,NA
