"WBXA072.Code.or.Value","WBXA072.Value.Description","WBXA072.Count","WBXA072.Cumulative","WBXA072.Skip.to.Item"
"-1.1079 to 0.9994","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
