"DS2ILYCO.Code.or.Value","DS2ILYCO.Value.Description","DS2ILYCO.Count","DS2ILYCO.Cumulative","DS2ILYCO.Skip.to.Item"
"100 to 60000","Range of Values",400,400,NA
".","Missing",5376,5776,NA
