"LBD044LC.Code.or.Value","LBD044LC.Value.Description","LBD044LC.Count","LBD044LC.Cumulative","LBD044LC.Skip.to.Item"
"0","At or above the detection limit",36,36,NA
"1","Below lower detection limit",211,247,NA
".","Missing",0,247,NA
