"AUXLR213.Code.or.Value","AUXLR213.Value.Description","AUXLR213.Count","AUXLR213.Cumulative","AUXLR213.Skip.to.Item"
"-39 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
