"OSD030cb.Code.or.Value","OSD030cb.Value.Description","OSD030cb.Count","OSD030cb.Cumulative","OSD030cb.Skip.to.Item"
"22 to 78","Range of Values",18,18,NA
"85","85 or older",0,18,NA
"77777","Refused",0,18,NA
"99999","Don't know",1,19,NA
".","Missing",4960,4979,NA
