"URDTCVLC.Code.or.Value","URDTCVLC.Value.Description","URDTCVLC.Count","URDTCVLC.Cumulative","URDTCVLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",3015,3015,NA
".","Missing",264,3279,NA
