"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",132,132,NA
"2","No",8881,9013,NA
".","Missing",166,9179,NA
