"HSQ480.Code.or.Value","HSQ480.Value.Description","HSQ480.Count","HSQ480.Cumulative","HSQ480.Skip.to.Item"
"0 to 30","Range of Values",7016,7016,NA
"77","Refused",0,7016,NA
"99","Don't know",13,7029,NA
".","Missing",3353,10382,NA
