"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"27.4 to 735.49","Range of Values",6376,6376,NA
".","Missing",541,6917,NA
