"DXXPT63Y.Code.or.Value","DXXPT63Y.Value.Description","DXXPT63Y.Count","DXXPT63Y.Cumulative","DXXPT63Y.Skip.to.Item"
"94.5 to 324.1","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
