"DXXPT55Y.Code.or.Value","DXXPT55Y.Value.Description","DXXPT55Y.Count","DXXPT55Y.Cumulative","DXXPT55Y.Skip.to.Item"
"84.7 to 332.3","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
