"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID number","Value was recorded",8416,8416,NA
"7777777777","Refused",0,8416,NA
"9999999999","Don't know",0,8416,NA
"< blank >","Missing",0,8416,NA
