"BMIHT.Code.or.Value","BMIHT.Value.Description","BMIHT.Count","BMIHT.Cumulative","BMIHT.Skip.to.Item"
"1","Could not obtain",32,32,NA
"3","Not straight",67,99,NA
".","Missing",8605,8704,NA
