"AUXRR163.Code.or.Value","AUXRR163.Value.Description","AUXRR163.Count","AUXRR163.Cumulative","AUXRR163.Skip.to.Item"
"-15 to 95","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
