"AUXRR224.Code.or.Value","AUXRR224.Value.Description","AUXRR224.Count","AUXRR224.Cumulative","AUXRR224.Skip.to.Item"
"-85 to 45","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
