"URDUMNLC.Code.or.Value","URDUMNLC.Value.Description","URDUMNLC.Count","URDUMNLC.Cumulative","URDUMNLC.Skip.to.Item"
"0","At or above the detection limit",812,812,NA
"1","Below lower detection limit",1852,2664,NA
".","Missing",91,2755,NA
