"LBXGHCLA.Code.or.Value","LBXGHCLA.Value.Description","LBXGHCLA.Count","LBXGHCLA.Cumulative","LBXGHCLA.Skip.to.Item"
"1.6 to 296","Range of Values",1799,1799,NA
".","Missing",475,2274,NA
