"FSD092.Code.or.Value","FSD092.Value.Description","FSD092.Count","FSD092.Cumulative","FSD092.Skip.to.Item"
"1","Yes",283,283,NA
"2","No",1298,1581,NA
"7","Refused",0,1581,NA
"9","Don't know",0,1581,NA
".","Missing",8594,10175,NA
