"OHAROCGP.Code.or.Value","OHAROCGP.Value.Description","OHAROCGP.Count","OHAROCGP.Cumulative","OHAROCGP.Skip.to.Item"
"1","Yes",642,642,NA
"2","No",14,656,NA
".","Missing",7710,8366,NA
